Sample in Buffer,Sample in Window,TRIGGER,s_start_conv3,sready_conv3_1,s_out_conv3tb[26:0]
448,448,0,1,1,001111101010110010010111000
449,449,0,1,1,001111101010001101110101110
450,450,0,1,1,001111101001101001010000011
451,451,0,1,1,001111101001000010000000111
452,452,0,1,1,001111101000101001000010001
453,453,0,1,1,001111100111111000000111000
454,454,0,1,1,001111100110001001110111111
455,455,0,1,1,001111100011001011100110111
456,456,0,1,1,001111100000011010100100100
457,457,0,1,1,001111011000100110111101011
458,458,0,1,1,000000000000000000000000000
459,459,0,1,1,000000000000000000000000000
460,460,0,1,1,000000000000000000000000000
461,461,0,1,1,000000000000000000000000000
462,462,0,1,1,000000000000000000000000000
463,463,0,1,1,000000000000000000000000000
464,464,0,1,1,000000000000000000000000000
465,465,0,1,1,001111001100101001000010110
466,466,0,1,1,001111011010111000110010010
467,467,0,1,1,001111100001000011100000001
468,468,0,1,1,001111011101101011010011001
469,469,0,1,1,001111011011101111100100101
470,470,0,1,1,000000000000000000000000000
471,471,0,1,1,000000000000000000000000000
472,472,0,1,1,000000000000000000000000000
473,473,0,1,1,000000000000000000000000000
474,474,0,1,1,000000000000000000000000000
475,475,0,1,1,000000000000000000000000000
476,476,0,1,1,000000000000000000000000000
477,477,0,1,1,000000000000000000000000000
478,478,0,1,1,000000000000000000000000000
479,479,0,1,1,000000000000000000000000000
480,480,0,1,1,000000000000000000000000000
481,481,0,1,1,000000000000000000000000000
482,482,0,1,1,000000000000000000000000000
483,483,0,1,1,000000000000000000000000000
484,484,0,1,1,000000000000000000000000000
485,485,0,1,1,000000000000000000000000000
486,486,0,1,1,000000000000000000000000000
487,487,0,1,1,000000000000000000000000000
488,488,0,1,1,000000000000000000000000000
489,489,0,1,1,000000000000000000000000000
490,490,0,1,1,000000000000000000000000000
491,491,0,1,1,000000000000000000000000000
492,492,0,1,1,000000000000000000000000000
493,493,0,1,1,000000000000000000000000000
494,494,0,1,1,000000000000000000000000000
495,495,0,1,1,000000000000000000000000000
496,496,0,1,1,000000000000000000000000000
497,497,0,1,1,000000000000000000000000000
498,498,0,1,1,000000000000000000000000000
499,499,0,1,1,000000000000000000000000000
500,500,0,1,1,000000000000000000000000000
501,501,0,1,1,000000000000000000000000000
502,502,0,1,1,000000000000000000000000000
503,503,0,1,1,000000000000000000000000000
504,504,0,1,1,000000000000000000000000000
505,505,0,1,1,000000000000000000000000000
506,506,0,1,1,000000000000000000000000000
507,507,0,1,1,000000000000000000000000000
508,508,0,1,1,000000000000000000000000000
509,509,0,1,1,000000000000000000000000000
510,510,0,1,1,000000000000000000000000000
511,511,0,1,1,000000000000000000000000000
512,512,0,1,1,000000000000000000000000000
513,513,0,1,1,000000000000000000000000000
514,514,0,1,1,000000000000000000000000000
515,515,0,1,1,000000000000000000000000000
516,516,0,1,1,000000000000000000000000000
517,517,0,1,1,000000000000000000000000000
518,518,0,1,1,000000000000000000000000000
519,519,0,1,1,000000000000000000000000000
520,520,0,1,1,000000000000000000000000000
521,521,0,1,1,000000000000000000000000000
522,522,0,1,1,000000000000000000000000000
523,523,0,1,1,000000000000000000000000000
524,524,0,1,1,000000000000000000000000000
525,525,0,1,1,000000000000000000000000000
526,526,0,1,1,000000000000000000000000000
527,527,0,1,1,000000000000000000000000000
528,528,0,1,1,000000000000000000000000000
529,529,0,1,1,000000000000000000000000000
530,530,0,1,1,001111100101000010101000111
531,531,0,1,1,001111101100011100111001100
532,532,0,1,1,001111101101011011001110101
533,533,0,1,1,001111101101100001010010110
534,534,0,1,1,001111101101000000010000011
535,535,0,1,1,001111101100110111001010011
536,536,0,1,1,001111101100101111110011111
537,537,0,1,1,001111101100100001101111111
538,538,0,1,1,001111101100000011010110010
539,539,0,1,1,001111101011010001111101011
540,540,0,1,1,001111101010110110000011001
541,541,0,1,1,001111101010000101100011010
542,542,0,1,1,001111101001110011100110011
543,543,0,1,1,001111101010011110111100101
544,544,0,1,1,001111101011101000111011100
545,545,0,1,1,001111101101001101110101110
546,546,0,1,1,001111101101011100111110011
547,547,0,1,1,001111101100001111000111000
548,548,0,1,1,001111101010001000011110001
549,549,0,1,1,001111100111010001100011110
550,550,0,1,1,001111100011001001111010101
551,551,0,1,1,001111100000101010010100011
552,552,0,1,1,001111100000011001011111101
553,553,0,1,1,001111100001001101100111001
554,554,0,1,1,001111100100110111100010100
555,555,0,1,1,001111101000000101100010100
556,556,0,1,1,001111101010000111011101011
557,557,0,1,1,001111101010111101111110000
558,558,0,1,1,001111101010011100101111000
559,559,0,1,1,001111100101100111110101010
560,560,0,1,1,000000000000000000000000000
561,561,0,1,1,000000000000000000000000000
562,562,0,1,1,000000000000000000000000000
563,563,0,1,1,000000000000000000000000000
564,564,0,1,1,000000000000000000000000000
565,565,0,1,1,000000000000000000000000000
566,566,0,1,1,000000000000000000000000000
567,567,0,1,1,000000000000000000000000000
568,568,0,1,1,000000000000000000000000000
569,569,0,1,1,000000000000000000000000000
570,570,0,1,1,000000000000000000000000000
571,571,0,1,1,000000000000000000000000000
572,572,0,1,1,000000000000000000000000000
573,573,0,1,1,000000000000000000000000000
574,574,0,1,1,000000000000000000000000000
575,575,0,1,1,000000000000000000000000000
576,576,0,1,1,000000000000000000000000000
577,577,0,1,1,000000000000000000000000000
578,578,0,1,1,000000000000000000000000000
579,579,0,1,1,000000000000000000000000000
580,580,0,1,1,000000000000000000000000000
581,581,0,1,1,000000000000000000000000000
582,582,0,1,1,001110111110110001010001011
583,583,0,1,1,001110101000001101000100010
584,584,0,1,1,000000000000000000000000000
585,585,0,1,1,000000000000000000000000000
586,586,0,1,1,000000000000000000000000000
587,587,0,1,1,000000000000000000000000000
588,588,0,1,1,000000000000000000000000000
589,589,0,1,1,000000000000000000000000000
590,590,0,1,1,001111101010010110010101111
591,591,0,1,1,001111101011100110010110001
592,592,0,1,1,001111101011000100101101000
593,593,0,1,1,001111101001010100111111110
594,594,0,1,1,001111101000010011111100100
595,595,0,1,1,001111100111100101001110011
596,596,0,1,1,001111100110011010101001100
597,597,0,1,1,001111100101010100100010110
598,598,0,1,1,001111100011101001100111001
599,599,0,1,1,001111100010110111011010000
600,600,0,1,1,001111100010100100111111111
601,601,0,1,1,001111100010101110101101101
602,602,0,1,1,001111100100001010011101011
603,603,0,1,1,001111100111111100010110100
604,604,0,1,1,001111101010100100001110101
605,605,0,1,1,001111101100100011100010000
606,606,0,1,1,001111101100011110110100111
607,607,0,1,1,001111101010101110101010101
608,608,0,1,1,001111101000100001101011100
609,609,0,1,1,001111100011100011000101010
610,610,0,1,1,001111011110101111000000101
